epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
4.291199,0.116,0.195,0.862,0.094,0.192,0.332,0.986,0.077
4.331199,0.082,0.443,1.091,0.118,0.120,0.389,1.159,0.093
4.371199,0.048,0.367,1.051,0.098,0.255,0.065,1.086,0.112
4.411199,0.158,0.147,0.973,0.115,0.272,0.161,1.184,0.091
4.451199,0.053,0.324,0.851,0.078,0.154,0.175,0.921,0.078
4.491199,0.104,0.198,1.021,0.094,0.180,0.243,1.047,0.090
4.531199,0.148,0.817,1.300,0.111,0.117,0.127,1.291,0.100
4.571199,0.051,0.167,0.786,0.103,0.094,0.184,1.161,0.068
4.611199,0.109,0.259,0.878,0.089,0.106,0.631,1.013,0.070
4.651199,0.145,0.324,0.890,0.104,0.162,0.479,1.114,0.075
4.691199,0.115,0.454,0.948,0.107,0.117,0.322,1.149,0.084
4.731199,0.042,0.387,0.846,0.086,0.114,0.587,0.947,0.070
4.771199,0.053,0.210,0.746,0.097,0.173,0.119,1.071,0.067
4.811199,0.319,0.037,0.913,0.097,0.295,0.062,1.084,0.078
4.851199,0.129,0.070,0.940,0.093,0.201,0.354,1.011,0.080
4.891198999999999,0.228,0.857,0.905,0.110,0.194,0.367,1.138,0.082
4.931199,0.206,0.280,0.989,0.109,0.174,0.202,1.058,0.088
4.9711989999999995,0.143,0.452,0.819,0.102,0.214,0.299,1.037,0.076
5.001599,0.080,0.255,0.928,0.122,0.125,0.249,1.247,0.096
5.041599,0.160,0.492,0.798,0.094,0.084,0.200,1.066,0.075
5.081599,0.088,0.486,0.704,0.076,0.281,0.282,0.978,0.063
5.121599,0.160,0.854,1.189,0.088,0.155,0.080,0.940,0.114
5.161599,0.287,0.040,0.769,0.109,0.126,0.204,1.002,0.070
5.201599,0.262,0.098,0.858,0.085,0.217,0.268,0.995,0.070
5.241599,0.159,0.173,1.112,0.087,0.166,0.454,0.975,0.093
5.281599,0.086,0.201,0.735,0.099,0.217,0.264,0.963,0.069
5.321599,0.134,0.417,0.733,0.090,0.106,0.175,0.982,0.071
5.361599,0.106,0.354,0.881,0.089,0.109,0.466,0.920,0.075
5.401599,0.398,1.167,0.889,0.095,0.190,0.150,1.054,0.079
5.441599,0.086,0.611,0.779,0.097,0.330,0.057,1.030,0.066
