epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
1.0799990000000002,0.599,0.755,2.722,0.317,0.333,0.591,2.975,0.289
1.159999,0.415,0.672,1.743,0.258,0.257,0.353,2.249,0.195
1.239999,0.320,0.526,1.650,0.268,0.216,0.442,2.314,0.179
1.3199990000000001,0.236,0.611,1.980,0.220,0.313,0.452,2.069,0.178
1.399999,0.203,0.727,1.627,0.195,0.246,0.358,1.915,0.195
1.479999,0.218,0.429,1.392,0.189,0.217,0.413,1.840,0.149
1.5599990000000001,0.189,0.443,1.360,0.203,0.237,0.257,2.084,0.144
1.6399990000000002,0.210,0.466,2.317,0.199,0.302,0.306,2.011,0.228
1.719999,0.222,0.326,1.540,0.200,0.241,0.476,2.030,0.139
1.7999990000000001,0.196,0.453,1.728,0.185,0.228,0.531,1.799,0.151
1.879999,0.186,0.385,1.252,0.180,0.283,0.447,1.690,0.131
1.959999,0.263,0.157,1.269,0.177,0.200,0.392,1.788,0.131
2.028799,0.229,0.251,1.094,0.153,0.208,0.357,1.443,0.117
2.108799,0.151,0.679,1.377,0.158,0.226,0.387,1.608,0.134
2.188799,0.327,0.176,1.218,0.154,0.228,0.722,1.502,0.125
2.268799,0.215,0.455,1.403,0.164,0.236,0.603,1.650,0.146
2.3487989999999996,0.170,0.404,1.558,0.158,0.215,0.342,1.564,0.119
2.4287989999999997,0.201,0.313,1.518,0.166,0.228,0.609,1.705,0.127
2.508799,0.165,0.583,1.192,0.134,0.143,0.454,1.376,0.114
2.588799,0.169,0.430,1.631,0.151,0.252,0.318,1.561,0.162
2.668799,0.241,0.188,1.268,0.140,0.163,0.507,1.370,0.117
2.748799,0.155,0.504,1.096,0.148,0.126,0.279,1.523,0.102
2.828799,0.168,0.258,1.220,0.142,0.162,0.284,1.488,0.120
2.908799,0.288,1.176,1.276,0.144,0.164,0.446,1.534,0.116
2.9887989999999998,0.140,0.401,1.134,0.138,0.249,0.915,1.392,0.105
3.0575989999999997,0.275,1.103,1.158,0.148,0.135,0.420,1.486,0.105
3.137599,0.168,0.637,1.165,0.139,0.149,0.274,1.453,0.121
3.217599,0.163,0.438,1.158,0.131,0.169,0.337,1.350,0.111
3.297599,0.155,0.519,1.251,0.130,0.257,0.790,1.373,0.132
3.377599,0.133,0.562,1.291,0.148,0.569,0.234,1.520,0.108
3.457599,0.343,0.114,1.184,0.135,0.134,0.501,1.403,0.113
3.5375989999999997,0.159,0.715,1.324,0.131,0.110,0.521,1.421,0.101
3.617599,0.130,0.195,1.212,0.142,0.148,0.424,1.533,0.098
3.697599,0.134,0.426,1.218,0.157,0.180,0.280,1.623,0.133
3.777599,0.150,0.611,1.343,0.132,0.106,0.513,1.453,0.143
3.857599,0.121,0.389,1.434,0.139,0.134,0.321,1.472,0.120
3.9375989999999996,0.130,0.403,1.083,0.133,0.117,0.514,1.449,0.101
4.006399,0.161,0.476,1.025,0.131,0.187,0.440,1.397,0.098
