epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
14.294399,0.246,0.277,0.534,0.075,0.166,0.401,0.872,0.057
14.454399,0.250,0.280,0.664,0.075,0.170,0.511,0.821,0.066
14.614399,0.242,0.267,1.106,0.080,0.251,0.466,0.850,0.106
14.774399,0.245,0.265,0.733,0.074,0.232,0.276,0.783,0.079
14.934399,0.248,0.297,0.873,0.069,0.220,0.286,0.724,0.086
15.083199,0.264,0.319,0.782,0.072,0.225,0.301,0.763,0.082
15.243199,0.247,0.284,0.628,0.071,0.219,0.284,0.763,0.066
15.403199,0.238,0.298,0.627,0.072,0.221,0.258,0.769,0.063
15.563199000000001,0.278,0.302,0.573,0.081,0.218,0.267,0.842,0.058
15.723199000000001,0.278,0.351,0.557,0.071,0.198,0.357,0.782,0.051
15.883199000000001,0.256,0.296,0.714,0.071,0.302,0.590,0.810,0.070
16.031999,0.308,0.377,0.660,0.085,0.328,0.264,0.907,0.062
16.191999,0.259,0.290,0.651,0.074,0.272,0.249,0.783,0.069
16.351999,0.207,0.275,1.062,0.066,0.210,0.467,0.709,0.104
16.511999,0.219,0.292,0.567,0.079,0.191,0.437,0.867,0.055
16.671999,0.221,0.265,0.580,0.085,0.247,0.543,0.961,0.057
16.831999,0.211,0.292,0.660,0.070,0.170,0.386,0.756,0.068
16.991999,0.220,0.333,0.629,0.081,0.257,0.177,0.915,0.062
17.140798999999998,0.262,0.580,0.767,0.085,0.219,0.302,0.910,0.079
17.300798999999998,0.240,0.437,0.610,0.082,0.158,0.158,0.918,0.067
17.460798999999998,0.177,0.373,0.673,0.088,0.310,0.088,0.917,0.067
17.620798999999998,0.174,0.267,0.748,0.077,0.232,0.273,0.855,0.073
17.780799,0.184,0.230,0.603,0.085,0.129,0.425,0.930,0.063
17.940799,0.193,0.405,0.605,0.076,0.157,0.465,0.805,0.056
18.089599,0.184,0.402,0.641,0.076,0.159,0.449,0.793,0.054
18.249599,0.209,0.236,0.809,0.085,0.162,0.302,0.885,0.068
18.409599,0.258,0.727,0.806,0.096,0.088,0.530,1.106,0.079
18.569599,0.157,0.361,0.921,0.084,0.102,0.480,0.921,0.096
18.729599,0.271,0.782,0.615,0.080,0.163,0.181,0.924,0.057
