epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
281,0.018,1.089,0.602,0.047,0.046,0.800,0.594,0.041
281,0.006,0.943,0.620,0.059,0.014,0.848,0.719,0.043
281,0.008,1.031,0.682,0.050,0.017,0.855,0.613,0.049
281,0.005,0.917,0.668,0.063,0.023,0.717,0.717,0.048
281,0.014,0.928,0.670,0.057,0.031,1.229,0.642,0.048
281,0.005,0.995,0.634,0.059,0.019,1.244,0.724,0.043
281,0.007,1.005,0.698,0.051,0.031,0.741,0.601,0.051
281,0.006,0.852,0.715,0.058,0.013,1.059,0.679,0.052
281,0.008,0.940,0.711,0.052,0.020,0.830,0.630,0.057
281,0.006,1.024,0.637,0.066,0.020,1.057,0.809,0.045
281,0.011,0.866,0.630,0.058,0.017,0.898,0.691,0.041
281,0.005,0.910,0.668,0.055,0.034,0.825,0.647,0.046
281,0.012,1.019,0.775,0.054,0.018,0.891,0.656,0.068
281,0.007,0.893,0.747,0.054,0.052,1.198,0.673,0.067
281,0.008,0.927,0.635,0.063,0.023,0.805,0.732,0.044
281,0.037,0.710,0.627,0.059,0.025,0.703,0.682,0.049
281,0.006,0.842,0.605,0.062,0.011,1.246,0.706,0.043
281,0.005,1.023,0.578,0.057,0.012,0.810,0.751,0.039
281,0.014,1.164,0.668,0.051,0.026,1.042,0.622,0.047
282,0.010,0.995,0.785,0.052,0.027,0.862,0.639,0.083
282,0.007,0.950,0.655,0.052,0.013,1.101,0.620,0.044
282,0.012,0.920,0.647,0.068,0.018,0.861,0.805,0.044
282,0.023,0.928,0.591,0.048,0.039,1.073,0.570,0.050
282,0.008,1.181,0.674,0.054,0.060,1.160,0.613,0.051
282,0.010,0.789,0.639,0.049,0.013,0.935,0.616,0.042
282,0.006,1.148,0.768,0.056,0.025,0.642,0.682,0.048
282,0.005,0.945,0.598,0.058,0.019,0.804,0.673,0.042
282,0.006,0.741,0.692,0.055,0.024,0.828,0.645,0.046
282,0.008,1.085,0.724,0.064,0.022,1.050,0.733,0.061
282,0.008,1.238,0.679,0.056,0.022,0.803,0.697,0.048
282,0.005,1.097,0.636,0.058,0.021,0.922,0.729,0.044
282,0.006,0.890,0.625,0.059,0.012,1.058,0.746,0.043
282,0.008,1.107,0.677,0.058,0.025,0.731,0.713,0.046
282,0.008,1.176,0.613,0.046,0.025,1.031,0.541,0.042
282,0.004,0.950,0.620,0.049,0.012,1.064,0.646,0.041
282,0.014,1.057,0.560,0.050,0.032,0.538,0.617,0.039
282,0.007,1.029,0.633,0.052,0.024,0.702,0.626,0.044
282,0.011,0.842,0.634,0.049,0.032,0.836,0.585,0.045
282,0.009,1.097,0.655,0.057,0.015,1.176,0.685,0.044
282,0.013,1.129,0.605,0.059,0.049,1.043,0.660,0.040
282,0.008,0.867,0.627,0.049,0.053,0.752,0.602,0.045
282,0.007,0.942,0.666,0.056,0.038,0.594,0.673,0.046
282,0.005,1.017,0.811,0.062,0.051,0.625,0.751,0.072
282,0.008,1.141,0.598,0.063,0.019,1.011,0.704,0.040
282,0.016,1.268,0.644,0.056,0.021,0.780,0.688,0.043
283,0.016,0.765,0.627,0.068,0.021,0.778,0.708,0.045
283,0.012,1.058,0.627,0.050,0.023,0.937,0.624,0.046
283,0.009,0.861,0.698,0.054,0.016,0.830,0.622,0.052
283,0.008,0.902,0.683,0.065,0.015,1.253,0.762,0.055
283,0.006,1.048,0.651,0.050,0.025,1.060,0.622,0.045
283,0.007,1.176,0.692,0.063,0.019,1.003,0.699,0.049
283,0.005,0.968,0.622,0.060,0.028,0.672,0.695,0.045
283,0.008,1.055,0.634,0.056,0.012,1.162,0.676,0.047
283,0.012,0.888,0.707,0.049,0.027,0.782,0.602,0.060
283,0.005,0.973,0.678,0.054,0.014,0.794,0.640,0.048
283,0.011,0.843,0.656,0.055,0.019,0.704,0.683,0.048
283,0.007,0.826,0.648,0.054,0.024,0.891,0.638,0.048
283,0.005,0.875,0.650,0.054,0.022,1.025,0.650,0.048
283,0.011,1.000,0.722,0.049,0.026,1.150,0.636,0.056
283,0.009,1.084,0.611,0.058,0.013,0.767,0.647,0.042
283,0.006,1.077,0.659,0.055,0.028,0.899,0.651,0.042
283,0.020,0.911,0.585,0.060,0.015,1.117,0.674,0.039
283,0.007,0.746,0.626,0.061,0.022,0.973,0.708,0.042
283,0.006,0.829,0.571,0.067,0.017,0.940,0.777,0.056
283,0.005,1.045,0.620,0.052,0.019,0.809,0.616,0.041
283,0.016,0.806,0.701,0.064,0.014,0.904,0.752,0.051
283,0.008,1.024,0.740,0.052,0.016,0.870,0.586,0.052
283,0.006,1.034,0.729,0.062,0.022,0.961,0.740,0.056
283,0.005,1.182,0.746,0.060,0.026,0.761,0.738,0.061
283,0.005,1.066,0.663,0.059,0.012,0.703,0.662,0.051
284,0.007,0.827,0.655,0.059,0.021,0.853,0.690,0.045
284,0.009,0.978,0.622,0.048,0.035,0.969,0.549,0.042
284,0.011,1.146,0.692,0.057,0.013,1.083,0.690,0.053
284,0.010,1.014,0.620,0.052,0.012,1.149,0.688,0.045
284,0.005,0.895,0.596,0.049,0.021,0.752,0.595,0.042
284,0.007,0.846,0.639,0.056,0.023,0.914,0.699,0.047
284,0.005,1.109,0.813,0.058,0.036,0.874,0.645,0.062
284,0.006,0.734,0.664,0.060,0.024,0.917,0.749,0.046
284,0.006,0.854,0.620,0.050,0.024,0.769,0.603,0.042
284,0.014,1.012,0.627,0.054,0.012,1.105,0.688,0.043
284,0.006,1.202,0.702,0.056,0.013,0.642,0.660,0.052
284,0.005,0.943,0.603,0.054,0.024,0.792,0.623,0.049
284,0.008,1.134,0.728,0.048,0.025,0.814,0.534,0.058
284,0.008,1.063,0.677,0.053,0.074,0.707,0.648,0.047
284,0.006,0.825,0.717,0.049,0.024,0.757,0.594,0.054
284,0.011,1.002,0.610,0.049,0.017,0.758,0.605,0.048
284,0.006,0.964,0.604,0.069,0.019,0.800,0.813,0.041
284,0.007,0.848,0.613,0.059,0.028,1.009,0.704,0.042
284,0.010,0.992,0.715,0.057,0.032,1.491,0.687,0.064
284,0.010,1.163,0.645,0.052,0.037,0.794,0.620,0.049
284,0.009,0.956,0.692,0.054,0.020,0.611,0.635,0.048
284,0.006,1.135,0.656,0.059,0.012,0.871,0.742,0.044
284,0.006,0.976,0.734,0.050,0.041,0.600,0.614,0.056
284,0.008,1.021,0.718,0.050,0.017,0.964,0.614,0.049
284,0.006,0.919,0.698,0.052,0.015,0.870,0.606,0.047
285,0.006,0.909,0.662,0.051,0.014,1.001,0.653,0.050
285,0.006,1.051,0.656,0.049,0.019,1.171,0.599,0.042
285,0.009,0.925,0.633,0.049,0.017,0.900,0.615,0.045
285,0.007,1.169,0.706,0.059,0.015,0.820,0.655,0.050
285,0.007,0.965,0.761,0.066,0.017,0.697,0.776,0.057
285,0.005,0.960,0.711,0.062,0.083,0.762,0.737,0.055
285,0.017,0.741,0.535,0.059,0.012,0.904,0.695,0.038
285,0.006,0.963,0.631,0.052,0.016,0.961,0.615,0.044
285,0.009,1.022,0.621,0.054,0.012,0.818,0.645,0.043
285,0.011,1.113,0.645,0.060,0.013,0.954,0.697,0.049
285,0.008,0.975,0.614,0.057,0.014,0.904,0.675,0.043
285,0.005,0.911,0.633,0.049,0.021,0.878,0.584,0.042
285,0.010,0.913,0.639,0.048,0.015,1.049,0.580,0.047
285,0.006,0.988,0.623,0.061,0.016,1.227,0.662,0.046
285,0.008,0.826,0.672,0.062,0.015,1.064,0.746,0.048
285,0.013,0.905,0.613,0.061,0.032,0.873,0.736,0.041
285,0.007,0.835,0.689,0.057,0.013,1.201,0.649,0.053
285,0.006,0.973,0.668,0.062,0.020,1.111,0.723,0.048
285,0.005,0.861,0.607,0.049,0.030,0.788,0.593,0.040
285,0.018,0.850,0.673,0.053,0.025,0.634,0.604,0.049
285,0.012,1.084,0.607,0.059,0.039,0.893,0.723,0.048
285,0.005,0.969,0.758,0.051,0.023,0.799,0.629,0.063
285,0.005,1.100,0.554,0.050,0.030,0.853,0.567,0.037
285,0.021,0.754,0.797,0.047,0.016,0.985,0.593,0.064
285,0.007,0.722,0.652,0.052,0.097,0.905,0.653,0.050
286,0.015,1.116,0.702,0.052,0.018,0.781,0.639,0.055
286,0.015,0.784,0.706,0.059,0.016,0.817,0.671,0.052
286,0.014,1.177,0.645,0.054,0.029,1.219,0.598,0.043
286,0.011,0.818,0.694,0.055,0.023,0.964,0.609,0.049
286,0.011,0.841,0.647,0.047,0.030,0.878,0.591,0.044
286,0.017,1.049,0.718,0.057,0.031,1.259,0.650,0.051
286,0.022,0.914,0.581,0.052,0.025,1.135,0.643,0.041
286,0.007,0.898,0.586,0.050,0.020,0.965,0.597,0.039
286,0.006,0.931,0.675,0.056,0.058,0.531,0.644,0.052
286,0.005,1.025,0.797,0.057,0.023,1.210,0.710,0.051
286,0.018,0.805,0.840,0.051,0.019,1.074,0.664,0.062
286,0.010,1.075,0.655,0.048,0.014,0.965,0.592,0.048
286,0.005,1.047,0.632,0.055,0.052,0.622,0.671,0.046
