epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
7.652799,0.142,0.205,0.853,0.093,0.079,0.429,1.083,0.083
7.732799,0.156,0.755,0.852,0.095,0.105,0.372,1.165,0.077
7.812799,0.188,0.423,0.796,0.095,0.156,0.514,1.020,0.053
7.892799,0.401,1.119,0.664,0.097,0.152,0.517,1.017,0.060
7.972799,0.280,0.085,0.982,0.076,0.125,0.195,0.877,0.077
8.041599000000001,0.221,0.164,0.750,0.085,0.141,0.380,0.864,0.067
8.121599000000002,0.116,0.241,0.930,0.119,0.176,0.296,1.249,0.081
8.201599,0.111,0.248,0.894,0.109,0.508,0.307,1.097,0.071
8.281599,0.252,0.313,1.396,0.114,0.153,0.491,1.228,0.163
8.361599,0.248,0.301,0.883,0.109,0.197,0.239,0.966,0.112
8.441599,0.247,0.245,0.762,0.106,0.168,0.352,1.048,0.070
8.521599,0.227,0.298,0.925,0.100,0.245,0.099,0.985,0.092
8.601599,0.234,0.292,0.917,0.076,0.131,0.294,0.837,0.093
8.681599,0.260,0.280,0.686,0.104,0.203,0.202,0.974,0.064
8.761599,0.239,0.249,0.615,0.086,0.386,0.059,0.934,0.059
8.841599,0.248,0.270,0.641,0.074,0.191,0.250,0.780,0.063
8.921599,0.260,0.294,0.814,0.089,0.138,0.273,0.895,0.076
9.001599,0.241,0.272,0.627,0.079,0.220,0.413,0.827,0.065
9.070399,0.239,0.285,0.618,0.078,0.224,0.583,0.832,0.064
9.150399,0.239,0.249,0.689,0.087,0.211,0.537,0.981,0.077
9.230399,0.228,0.293,0.612,0.077,0.145,0.322,0.889,0.054
9.310399,0.220,0.325,0.627,0.088,0.165,0.239,0.952,0.059
9.390399,0.226,0.281,0.716,0.081,0.136,0.359,0.889,0.067
9.470399,0.235,0.340,0.800,0.092,0.241,0.137,0.982,0.073
9.550399,0.232,0.294,0.682,0.080,0.249,0.431,0.875,0.066
9.630399,0.206,0.312,0.654,0.077,0.187,0.319,0.870,0.080
9.710399,0.225,0.391,0.659,0.089,0.193,0.314,0.896,0.067
9.790399,0.179,0.315,0.585,0.081,0.131,0.254,0.896,0.056
9.870399,0.205,0.280,0.656,0.093,0.158,0.154,0.972,0.062
9.950399,0.198,0.470,0.693,0.075,0.167,0.269,0.870,0.072
10.019199,0.203,0.172,0.867,0.083,0.216,0.733,1.004,0.075
10.099199,0.376,0.450,0.771,0.095,0.151,0.364,0.970,0.078
10.179199,0.212,0.483,0.657,0.074,0.166,0.237,0.784,0.068
10.259199,0.194,0.119,0.703,0.077,0.283,0.177,0.898,0.059
10.339199,0.199,0.201,1.075,0.087,0.157,0.234,0.928,0.097
10.419199,0.233,0.647,0.809,0.082,0.159,0.497,0.836,0.086
10.499199,0.152,0.421,0.763,0.087,0.186,0.122,0.894,0.076
10.579199000000001,0.268,0.503,0.671,0.085,0.160,0.499,0.911,0.065
10.659199000000001,0.197,0.209,0.737,0.079,0.152,0.433,0.821,0.081
10.739199000000001,0.073,0.332,0.720,0.105,0.192,0.563,1.146,0.064
10.819199000000001,0.138,0.268,0.879,0.086,0.145,0.485,0.911,0.077
10.899199000000001,0.170,0.417,0.788,0.086,0.151,0.275,0.922,0.070
10.979199000000001,0.214,0.175,0.740,0.091,0.193,0.772,0.931,0.072
11.047999,0.154,1.020,0.739,0.082,0.288,1.117,0.957,0.062
11.127999,0.143,0.333,1.077,0.077,0.105,0.540,0.863,0.130
11.207999000000001,0.116,0.196,0.698,0.080,0.146,0.482,0.904,0.064
11.287999000000001,0.131,0.274,0.692,0.103,0.144,0.145,1.155,0.066
11.367999000000001,0.233,0.371,0.671,0.078,0.135,0.410,0.941,0.062
11.447999000000001,0.104,0.350,0.906,0.084,0.200,0.198,0.952,0.077
11.527999000000001,0.153,0.308,0.743,0.084,0.300,0.343,0.970,0.085
11.607999000000001,0.134,0.109,0.705,0.087,0.248,0.310,0.894,0.065
11.687999000000001,0.211,0.947,0.773,0.094,0.255,0.288,0.970,0.059
11.767999000000001,0.115,0.596,0.763,0.071,0.271,0.270,0.723,0.076
11.847999000000002,0.227,0.822,0.664,0.091,0.269,0.276,0.922,0.057
11.927999000000002,0.160,0.528,0.800,0.102,0.263,0.272,0.942,0.084
12.007999,0.193,0.252,0.719,0.103,0.245,0.294,0.980,0.066
12.076799000000001,0.098,0.311,0.641,0.080,0.239,0.276,0.796,0.055
12.156799000000001,0.099,0.318,0.653,0.073,0.247,0.254,0.730,0.059
12.236799000000001,0.117,0.427,0.750,0.088,0.252,0.283,0.920,0.059
12.316799000000001,0.180,0.267,0.772,0.078,0.241,0.267,0.781,0.078
12.396799000000001,0.097,0.604,0.665,0.066,0.236,0.269,0.654,0.059
12.476799000000002,0.098,0.540,0.682,0.076,0.239,0.259,0.738,0.059
12.556799,0.081,0.494,0.744,0.079,0.248,0.242,0.757,0.068
12.636799000000002,0.160,0.788,0.604,0.086,0.241,0.275,0.823,0.052
12.716799,0.109,0.484,0.819,0.080,0.234,0.267,0.727,0.078
12.796799,0.299,0.171,0.642,0.065,0.249,0.283,0.683,0.051
12.876799,0.118,0.299,0.839,0.082,0.247,0.254,0.838,0.072
12.956799,0.106,0.309,0.696,0.079,0.248,0.275,0.738,0.059
13.025599000000001,0.098,0.569,0.675,0.070,0.240,0.269,0.723,0.059
13.105599000000002,0.107,0.625,0.649,0.068,0.226,0.319,0.633,0.050
13.185599000000002,0.063,0.430,0.671,0.073,0.232,0.260,0.688,0.058
13.265599,0.115,0.336,0.754,0.082,0.231,0.291,0.792,0.065
13.345599,0.155,0.628,0.757,0.071,0.247,0.315,0.680,0.062
13.425599,0.095,0.562,0.785,0.071,0.230,0.263,0.774,0.062
13.505599,0.178,1.031,0.802,0.072,0.234,0.294,0.682,0.074
13.585599,0.189,0.148,0.774,0.075,0.244,0.306,0.804,0.059
13.665599,0.143,0.190,0.695,0.069,0.216,0.298,0.699,0.053
13.745599,0.124,0.385,0.801,0.084,0.223,0.316,0.787,0.054
13.825599,0.246,0.280,0.795,0.082,0.249,0.286,0.782,0.066
13.905599,0.102,0.320,0.663,0.069,0.229,0.233,0.695,0.056
13.985599,0.076,0.462,0.909,0.076,0.230,0.319,0.775,0.076
14.054399,0.097,0.295,0.674,0.072,0.237,0.295,0.742,0.053
14.134399,0.340,1.348,0.880,0.107,0.236,0.329,0.979,0.074
14.214399,0.279,0.809,0.650,0.071,0.279,0.217,0.706,0.051
14.294399,0.131,0.416,0.671,0.087,0.220,0.315,0.842,0.059
14.374399,0.095,0.296,0.729,0.075,0.234,0.293,0.772,0.072
14.454399,0.131,0.291,0.749,0.075,0.247,0.234,0.765,0.060
14.534399,0.328,0.415,0.630,0.066,0.197,0.381,0.705,0.049
14.614399,0.072,0.539,0.681,0.066,0.176,0.268,0.680,0.053
14.694399,0.312,0.085,0.685,0.094,0.185,0.278,0.939,0.059
14.774399,0.109,0.418,0.841,0.088,0.238,0.338,0.886,0.055
14.854399,0.151,0.694,0.721,0.095,0.146,0.768,1.122,0.057
14.934399,0.080,0.611,0.712,0.068,0.223,0.418,0.754,0.067
15.003199,0.237,0.116,0.797,0.079,0.264,0.177,0.783,0.067
15.083199,0.101,0.313,0.722,0.084,0.203,0.372,0.929,0.064
15.163199,0.103,0.569,0.704,0.077,0.150,0.450,0.896,0.058
15.243199,0.135,0.252,0.704,0.093,0.104,0.302,1.087,0.060
15.323199,0.238,0.072,0.826,0.071,0.115,0.816,0.856,0.074
15.403199,0.066,0.595,0.643,0.073,0.130,0.197,0.817,0.054
15.483199,0.118,0.690,0.697,0.086,0.107,0.454,0.946,0.063
15.563199000000001,0.157,0.778,0.855,0.078,0.179,0.253,0.830,0.065
15.643199000000001,0.214,0.996,0.684,0.072,0.117,0.607,0.781,0.056
15.723199000000001,0.134,0.810,0.761,0.080,0.092,0.216,0.964,0.060
15.803199000000001,0.119,0.721,0.811,0.078,0.194,0.503,0.801,0.070
15.883199000000001,0.105,0.311,0.715,0.071,0.062,0.437,0.831,0.060
15.963199000000001,0.094,0.403,0.778,0.076,0.178,0.325,0.847,0.073
16.031999,0.083,0.485,0.718,0.078,0.161,0.590,0.836,0.056
16.111998999999997,0.166,0.361,0.678,0.077,0.158,0.239,0.755,0.049
16.191999,0.093,0.305,0.673,0.080,0.184,0.419,0.798,0.054
16.271998999999997,0.110,0.303,0.996,0.119,0.146,0.171,1.394,0.086
16.351999,0.263,0.147,0.748,0.083,0.173,0.217,0.874,0.061
16.431998999999998,0.105,0.363,0.835,0.078,0.203,0.146,0.872,0.062
16.511999,0.186,0.524,0.848,0.089,0.117,0.286,0.974,0.067
16.591998999999998,0.102,0.617,0.625,0.076,0.102,0.330,0.856,0.053
16.671999,0.119,0.267,0.820,0.080,0.136,0.257,0.914,0.066
16.751998999999998,0.105,0.455,1.039,0.078,0.123,0.414,0.892,0.078
16.831999,0.131,0.247,0.621,0.077,0.140,0.560,0.864,0.054
16.911998999999998,0.106,0.205,0.821,0.086,0.088,0.456,0.885,0.071
16.991999,0.126,0.666,0.780,0.081,0.275,0.074,1.048,0.065
17.060799,0.089,0.763,0.868,0.076,0.349,0.351,0.883,0.070
17.140798999999998,0.070,0.664,0.762,0.066,0.129,0.316,0.799,0.064
17.220799,0.195,0.380,0.734,0.070,0.116,0.444,0.799,0.062
17.300798999999998,0.102,0.301,0.718,0.076,0.101,0.285,0.832,0.058
17.380799,0.290,1.077,0.809,0.070,0.176,0.224,0.873,0.080
17.460798999999998,0.071,0.403,0.724,0.078,0.136,0.374,0.862,0.057
17.540799,0.100,0.562,0.771,0.083,0.245,0.641,0.882,0.064
17.620798999999998,0.201,0.288,0.699,0.070,0.070,0.349,0.797,0.060
17.700799,0.086,0.434,0.723,0.076,0.201,0.176,0.850,0.052
17.780799,0.171,0.349,0.733,0.067,0.215,0.212,0.809,0.062
17.860799,0.209,0.134,0.725,0.075,0.128,0.495,0.845,0.053
17.940799,0.186,0.386,0.751,0.074,0.216,0.620,0.840,0.066
18.009598999999998,0.209,0.204,0.953,0.070,0.250,0.086,0.853,0.078
18.089599,0.080,0.728,0.761,0.067,0.128,0.657,0.787,0.065
18.169598999999998,0.083,0.392,0.700,0.068,0.159,0.560,0.835,0.051
18.249599,0.326,1.447,0.770,0.088,0.182,0.217,1.066,0.056
18.329598999999998,0.128,0.341,0.660,0.079,0.049,0.398,0.903,0.051
18.409599,0.168,0.844,0.698,0.067,0.164,0.175,0.842,0.061
18.489599,0.500,1.831,0.729,0.064,0.111,0.349,0.724,0.055
18.569599,0.166,0.391,0.725,0.103,0.188,0.116,1.125,0.066
18.649599,0.066,0.278,0.690,0.070,0.175,0.953,0.838,0.057
18.729599,0.122,0.790,0.799,0.064,0.116,0.711,0.792,0.062
18.809599,0.142,0.490,0.706,0.066,0.112,0.546,0.803,0.054
18.889599,0.085,0.494,0.769,0.069,0.078,0.494,0.843,0.060
18.969599,0.074,0.551,0.830,0.077,1.916,1.679,0.987,0.070
19.038399,0.179,0.192,0.723,0.073,0.261,0.230,0.726,0.058
19.118399,0.082,0.499,0.701,0.062,0.267,0.246,0.625,0.057
19.198399,0.103,0.324,0.821,0.062,0.256,0.262,0.691,0.072
19.278399,0.193,0.895,0.856,0.085,0.273,0.305,0.742,0.068
19.358399,0.122,0.297,0.722,0.073,0.247,0.288,0.742,0.055
19.438399,0.092,0.631,0.704,0.073,0.250,0.274,0.737,0.051
19.518399,0.120,1.223,0.849,0.066,0.243,0.271,0.682,0.064
19.598399,0.095,0.280,0.832,0.063,0.248,0.260,0.615,0.064
19.678399,0.085,0.318,0.672,0.075,0.256,0.260,0.708,0.050
19.758399,0.122,0.254,0.817,0.064,0.249,0.291,0.631,0.060
19.838399,0.174,0.270,0.798,0.065,0.257,0.264,0.649,0.049
19.918398999999997,0.097,1.058,0.717,0.068,0.253,0.269,0.685,0.054
19.998399,0.089,0.296,0.687,0.074,0.246,0.232,0.754,0.048
20.067199,0.064,0.518,0.724,0.060,0.251,0.282,0.633,0.053
20.147199,0.215,1.173,0.837,0.075,0.228,0.233,0.725,0.075
20.227199,0.072,0.762,0.706,0.061,0.242,0.264,0.586,0.048
20.307199,0.098,0.302,0.738,0.061,0.245,0.276,0.659,0.059
20.387199,0.096,0.593,0.733,0.064,0.251,0.286,0.628,0.050
